2024-07-02 10:08:16 | INFO | controller | args: Namespace(host='0.0.0.0', port=10050, dispatch_method='shortest_queue')
2024-07-02 10:08:16 | INFO | controller | Init controller
2024-07-02 10:08:16 | ERROR | stderr | INFO:     Started server process [230086]
2024-07-02 10:08:16 | ERROR | stderr | INFO:     Waiting for application startup.
2024-07-02 10:08:16 | ERROR | stderr | INFO:     Application startup complete.
2024-07-02 10:08:16 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:10050 (Press CTRL+C to quit)
2024-07-02 10:12:25 | INFO | stdout | INFO:     10.140.24.69:21408 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-07-02 10:12:25 | INFO | stdout | INFO:     10.140.24.69:21410 - "POST /list_models HTTP/1.1" 200 OK
2024-07-02 10:46:43 | INFO | controller | Register a new worker: http://10.140.24.69:10062
2024-07-02 10:46:43 | INFO | controller | Register done: http://10.140.24.69:10062, {'model_names': ['chemvlm'], 'speed': 1, 'queue_length': 0}
2024-07-02 10:46:43 | INFO | stdout | INFO:     10.140.24.69:32720 - "POST /register_worker HTTP/1.1" 200 OK
2024-07-02 10:46:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:46:58 | INFO | stdout | INFO:     10.140.24.69:32796 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:47:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:47:13 | INFO | stdout | INFO:     10.140.24.69:32864 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:47:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:47:28 | INFO | stdout | INFO:     10.140.24.69:32946 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:47:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:47:43 | INFO | stdout | INFO:     10.140.24.69:33036 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:47:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:47:58 | INFO | stdout | INFO:     10.140.24.69:33118 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:48:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:48:13 | INFO | stdout | INFO:     10.140.24.69:33188 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:48:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:48:28 | INFO | stdout | INFO:     10.140.24.69:33242 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:48:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:48:43 | INFO | stdout | INFO:     10.140.24.69:33344 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:48:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:48:58 | INFO | stdout | INFO:     10.140.24.69:33412 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:49:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:49:13 | INFO | stdout | INFO:     10.140.24.69:33492 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:49:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:49:28 | INFO | stdout | INFO:     10.140.24.69:33566 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:49:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:49:43 | INFO | stdout | INFO:     10.140.24.69:33636 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:49:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:49:58 | INFO | stdout | INFO:     10.140.24.69:33722 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:50:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:50:13 | INFO | stdout | INFO:     10.140.24.69:33806 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:50:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:50:28 | INFO | stdout | INFO:     10.140.24.69:33878 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:50:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:50:43 | INFO | stdout | INFO:     10.140.24.69:33944 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:50:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:50:58 | INFO | stdout | INFO:     10.140.24.69:34024 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:51:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:51:13 | INFO | stdout | INFO:     10.140.24.69:34104 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:51:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:51:28 | INFO | stdout | INFO:     10.140.24.69:34188 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:51:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:51:43 | INFO | stdout | INFO:     10.140.24.69:34262 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:51:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:51:58 | INFO | stdout | INFO:     10.140.24.69:34352 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:52:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:52:13 | INFO | stdout | INFO:     10.140.24.69:34430 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:52:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:52:28 | INFO | stdout | INFO:     10.140.24.69:34494 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:52:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:52:43 | INFO | stdout | INFO:     10.140.24.69:34566 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:52:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:52:58 | INFO | stdout | INFO:     10.140.24.69:34638 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:53:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:53:13 | INFO | stdout | INFO:     10.140.24.69:34720 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:53:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:53:28 | INFO | stdout | INFO:     10.140.24.69:34806 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:53:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:53:43 | INFO | stdout | INFO:     10.140.24.69:34888 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:53:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:53:58 | INFO | stdout | INFO:     10.140.24.69:34964 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:54:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:54:13 | INFO | stdout | INFO:     10.140.24.69:35034 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:54:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:54:28 | INFO | stdout | INFO:     10.140.24.69:35108 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:54:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:54:43 | INFO | stdout | INFO:     10.140.24.69:35188 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:54:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:54:58 | INFO | stdout | INFO:     10.140.24.69:35264 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:55:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:55:13 | INFO | stdout | INFO:     10.140.24.69:35340 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:55:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:55:28 | INFO | stdout | INFO:     10.140.24.69:35406 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:55:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:55:43 | INFO | stdout | INFO:     10.140.24.69:35514 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:55:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:55:58 | INFO | stdout | INFO:     10.140.24.69:35582 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:56:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:56:13 | INFO | stdout | INFO:     10.140.24.69:35678 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:56:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:56:28 | INFO | stdout | INFO:     10.140.24.69:35750 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:56:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:56:43 | INFO | stdout | INFO:     10.140.24.69:35828 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:56:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:56:58 | INFO | stdout | INFO:     10.140.24.69:35908 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:57:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:57:13 | INFO | stdout | INFO:     10.140.24.69:35980 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:57:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:57:28 | INFO | stdout | INFO:     10.140.24.69:36044 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:57:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:57:43 | INFO | stdout | INFO:     10.140.24.69:36138 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:57:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:57:58 | INFO | stdout | INFO:     10.140.24.69:36206 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:58:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:58:13 | INFO | stdout | INFO:     10.140.24.69:36290 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:58:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:58:28 | INFO | stdout | INFO:     10.140.24.69:36372 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:58:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:58:43 | INFO | stdout | INFO:     10.140.24.69:36452 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:58:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:58:58 | INFO | stdout | INFO:     10.140.24.69:36524 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:59:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:59:13 | INFO | stdout | INFO:     10.140.24.69:36610 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:59:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:59:28 | INFO | stdout | INFO:     10.140.24.69:36672 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:59:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:59:43 | INFO | stdout | INFO:     10.140.24.69:36738 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 10:59:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 10:59:58 | INFO | stdout | INFO:     10.140.24.69:36816 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:00:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:00:13 | INFO | stdout | INFO:     10.140.24.69:36904 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:00:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:00:28 | INFO | stdout | INFO:     10.140.24.69:36978 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:00:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:00:43 | INFO | stdout | INFO:     10.140.24.69:37072 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:00:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:00:58 | INFO | stdout | INFO:     10.140.24.69:37152 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:01:13 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:01:13 | INFO | stdout | INFO:     10.140.24.69:37228 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:01:28 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:01:28 | INFO | stdout | INFO:     10.140.24.69:37296 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:01:43 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:01:43 | INFO | stdout | INFO:     10.140.24.69:37368 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:01:58 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:01:59 | INFO | stdout | INFO:     10.140.24.69:37440 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:02:14 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:02:14 | INFO | stdout | INFO:     10.140.24.69:37528 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:02:29 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:02:29 | INFO | stdout | INFO:     10.140.24.69:37600 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:02:44 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-02 11:02:44 | INFO | stdout | INFO:     10.140.24.69:37682 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-02 11:02:59 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
